#名前,レア度,スロット,入手時期／HR,入手時期／村☆,スキル系統1,スキル値1,スキル系統2,スキル値2,生産素材A1,個数,生産素材A2,個数,生産素材A3,個数,生産素材A4,個数,生産素材B1,個数,生産素材B2,個数,生産素材B3,個数,生産素材B4,個数
肉食珠【１】,4,1,8,99,肉食,1,腹減り,-1,金剛原珠,1,恐暴竜の頭殻,2,,,,,,,,,,,,
肉好珠【１】,4,1,8,99,肉食,2,,,金剛原珠,1,恐暴竜の頭殻,2,カワズの油,1,,,,,,,,,,
茸好珠【１】,7,1,9,99,茸食,2,肉食,-1,金剛原珠,1,桃毛獣の豪剛毛,4,重厚な骨,1,,,,,,,,,,
蜜集珠【１】,4,1,99,3,ハチミツ,1,気まぐれ,-1,水光原珠,1,青熊獣の甲殻,2,,,,,,,,,,,,
蜜占珠【１】,4,1,4,7,ハチミツ,2,,,修羅原珠,1,青熊獣の甲殻,4,桃毛獣の尖爪,1,,,,,,,,,,
菌学珠【１】,4,1,8,99,細菌学,1,気配,-1,金剛原珠,1,赤甲獣の堅殻,2,,,,,,,,,,,,
菌究珠【１】,4,1,8,99,細菌学,2,,,金剛原珠,1,赤甲獣の堅殻,1,砕竜の堅黒曜甲,2,,,,,,,,,,
闘魂珠【１】,4,1,8,99,闘魂,1,ガード性能,-1,金剛原珠,1,砕竜の堅殻,2,土砂竜の頭殻,2,,,,,,,,,,
闘魂珠【２】,5,2,8,99,闘魂,3,ガード性能,-1,金剛原珠,1,砕竜の剛拳,2,雷狼竜の高電毛,1,,,,,,,,,,
無傷珠【１】,4,1,8,99,無傷,1,回復速度,-1,金剛原珠,1,獄狼竜の尖角,2,獄狼竜の堅殻,2,,,,,,,,,,
無傷珠【２】,5,2,8,99,無傷,3,回復速度,-1,金剛原珠,1,獄狼竜の尖爪,2,蛇王龍の鋼皮,2,,,,,,,,,,
剛体珠【１】,4,1,8,99,不動,1,防御,-1,黒龍の甲殻,2,金剛原珠,1,なぞの粘菌,1,,,,,,,,,,
剛体珠【３】,6,3,8,99,不動,4,防御,-2,黒龍の翼膜,1,金剛原珠,1,キリンの上皮,1,,,,,,,,,,
采配珠【１】,4,1,1,2,采配,1,効果持続,-1,水光原珠,1,オトモチケット,2,肉球のスタンプ,2,,,,,,,,,,
名采配珠【１】,5,1,4,7,采配,2,,,修羅原珠,1,オトモチケット,3,王者のエリマキ,2,,,,,,,,,,
号令珠【１】,4,1,1,1,号令,1,採取,-1,水光原珠,1,オトモチケット,3,増強剤,2,秘薬,2,,,,,,,,
号令珠【２】,5,2,5,8,号令,3,採取,-1,瑠璃原珠,1,オトモチケット,4,ツチハチノコ,2,,,,,,,,,,
護石珠【１】,4,1,8,99,護石王,1,,,ユニオン鉱石,3,金剛原珠,1,火竜の煌液,1,,,,,,,,,,
乗慣珠【１】,7,1,9,99,乗り,2,,,金剛原珠,1,奇猿狐の重長骨,2,ランゴスタの斬羽,2,,,,,,,,,,
